Lemma,Rank,SFI,U
possible,483,63.08,203.21
eat,311,63.08,203.16
major,569,63.06,202.46
consider,517,63.05,202.02
mother,425,63.02,200.42
police,649,63.01,200.11
sing,494,63.01,200.12
particular,386,63,199.47
yesterday,409,62.99,199.12
cover,424,62.96,197.78
rule,663,62.95,197.08
strong,604,62.94,196.87
age,452,62.92,195.71
hit,600,62.91,195.32
charge,570,62.9,194.88
increase,519,62.9,194.86
wonder,402,62.9,195.08
round,207,62.9,194.88
piece,421,62.87,193.75
check,391,62.85,192.65
type,316,62.84,192.27
several,680,62.83,191.84
mention,448,62.8,190.61
position,479,62.79,190.3
form,394,62.78,189.51
outside,453,62.75,188.45
girl,362,62.75,188.51
future,586,62.74,188.03
step,606,62.74,188.12
town,508,62.74,187.94
ahead,666,62.72,187.1
site,588,62.7,186.25
front,412,62.7,186.31
result,546,62.64,183.63
fire,629,62.64,183.73
full,393,62.64,183.71
class,372,62.62,182.95
anybody,367,62.6,182.04
conversation,551,62.59,181.48
short,416,62.59,181.59
air,700,62.57,180.76
especially,534,62.57,180.72
sorry,254,62.56,180.48
chance,532,62.54,179.56
paper,333,62.52,178.52
light,433,62.49,177.29
please,298,62.49,177.61
nine,251,62.49,177.59
themselves,596,62.48,177.01
teach,419,62.45,175.8
picture,461,62.44,175.41
behind,587,62.42,174.57
offer,564,62.39,173.23
language,456,62.36,172.11
address,507,62.36,172.19
add,467,62.35,171.9
road,410,62.33,170.81
effect,578,62.32,170.7
bill,632,62.31,170.12
forward,442,62.31,170.27
effort,694,62.3,169.99
happy,434,62.3,169.73
comment,423,62.26,168.08
teacher,368,62.26,168.44
opportunity,558,62.25,167.98
share,598,62.25,168.05
boy,403,62.25,167.73
free,554,62.24,167.55
focus,712,62.2,166.15
everyone,528,62.2,166.02
father,594,62.19,165.61
carry,474,62.19,165.76
door,353,62.16,164.42
save,495,62.15,164.08
list,427,62.15,163.92
myself,436,62.15,164.2
toward,566,62.13,163.12
pound,201,62.13,163.42
amount,492,62.12,162.91
visit,702,62.11,162.58
action,704,62.09,161.77
street,710,62.09,161.69
suggest,481,62.09,161.8
laughter,131,62.08,161.46
soon,480,62.04,160.07
fund,644,62.03,159.67
develop,556,62.01,158.89
particularly,525,61.96,156.86
rest,518,61.96,157.05
doctor,574,61.93,155.93
tonight,527,61.9,154.78
individual,572,61.89,154.56
special,590,61.88,154.1
research,661,61.87,153.73
choice,498,61.87,153.76
fine,376,61.85,153.04
college,557,61.84,152.72
education,626,61.77,150.37
yourself,435,61.75,149.58
finish,384,61.75,149.71
center,658,61.74,149.38
computer,521,61.72,148.58
realize,541,61.71,148.39
tax,620,61.7,147.91
ready,499,61.69,147.6
although,489,61.68,147.27
trouble,592,61.65,146.18
land,613,61.62,145.32
relationship,683,61.61,144.72
press,536,61.61,144.72
present,491,61.61,144.88
discussion,411,61.61,144.9
body,662,61.6,144.56
pull,514,61.6,144.47
discuss,512,61.53,142.34
middle,535,61.51,141.42
bear,562,61.51,141.47
usually,404,61.49,141.03
push,647,61.47,140.21
wife,609,61.45,139.73
explain,652,61.45,139.65
project,593,61.44,139.23
draw,487,61.44,139.36
travel,651,61.42,138.7
surprise,713,61.4,138.11
miss,506,61.4,137.96
trade,696,61.39,137.74
itself,679,61.37,136.96
letter,454,61.36,136.8
response,475,61.36,136.9
period,614,61.35,136.43
value,669,61.34,136.24
wear,441,61.34,136
weekend,543,61.33,135.91
forget,431,61.32,135.44
nobody,520,61.31,135.29
drop,612,61.29,134.47
item,238,61.28,134.15
church,701,61.27,133.99
shop,388,61.27,134.1
benefit,621,61.25,133.23
table,462,61.23,132.65
foot,510,61.22,132.42
affect,706,61.21,132.11
near,559,61.2,131.8
committee,513,61.2,131.92
produce,664,61.15,130.26
baby,531,61.1,128.74
instead,631,61.1,128.86
eye,672,61.09,128.41
choose,660,61.06,127.61
statement,636,61.05,127.45
card,457,61.05,127.35
throw,568,61.02,126.42
stick,459,61,125.95
catch,633,60.99,125.72
funny,408,60.99,125.62
standard,533,60.98,125.37
anyone,627,60.96,124.6
receive,708,60.93,123.84
enjoy,463,60.93,123.94
page,432,60.92,123.47
budget,522,60.91,123.38
stage,671,60.9,122.97
single,692,60.87,122.06
note,605,60.87,122.14
definitely,550,60.84,121.21
accept,648,60.84,121.28
mine,420,60.83,120.95
product,681,60.8,120.34
detail,617,60.8,120.09
mile,689,60.77,119.42
board,637,60.77,119.53
hospital,685,60.72,118.09
fun,523,60.72,117.95
husband,575,60.7,117.6
wonderful,682,60.66,116.45
depend,524,60.65,116.09
dad,381,60.65,116.08
staff,548,60.63,115.49
dog,490,60.63,115.64
color,503,60.62,115.38
tape,439,60.62,115.35
fair,601,60.61,115.05
drink,473,60.61,115.11
development,616,60.56,113.64
summer,638,60.56,113.76
imagine,623,60.54,113.32
available,599,60.52,112.81
require,709,60.49,112.01
main,591,60.49,111.85
further,552,60.47,111.45
subject,607,60.42,110.05
score,542,60.4,109.75
worth,582,60.4,109.55
afternoon,529,60.37,108.88
tend,634,60.33,107.91
completely,705,60.32,107.69
sale,697,60.3,107.18
brother,640,60.3,107.24
somewhere,449,60.28,106.63
degree,659,60.27,106.35
notice,530,60.26,106.19
account,635,60.24,105.63
correct,715,60.14,103.22
document,676,60.11,102.66
box,515,60.11,102.59
cold,622,60.06,101.37
wish,579,60.04,100.96
